row,keyword,url,reason
209,chứng chỉ ctpat,https://knacert.com.vn/tin-tuc-tieu-chuan/cac-thong-tin-ve-chung-chi-ctpat-ctpat-certificate/,url_not_found_in_page_classification
210,chứng nhận ctpat,https://knacert.com.vn/tin-tuc-tieu-chuan/cac-thong-tin-ve-chung-chi-ctpat-ctpat-certificate/,url_not_found_in_page_classification
215,chứng chỉ sedex,https://knacert.com.vn/sedex-la-gi-tu-van-tieu-chuan-sedex-smeta,url_not_found_in_page_classification
217,sedex certification,https://knacert.com.vn/service/what-is-sedex-sedex-pre-audit-smeta/?lang=en,url_not_found_in_page_classification
218,sedex login,https://knacert.com.vn/sedex-la-gi-tu-van-tieu-chuan-sedex-smeta,url_not_found_in_page_classification
221,smeta sedex,https://knacert.com.vn/tin-tuc-tieu-chuan/tieu-chuan-trach-nhiem-xa-hoi-sedex-smeta-la-gi/,url_not_found_in_page_classification
222,tiêu chuẩn sedex,,blank_url
225,tư vấn bsci,,blank_url
229,chứng chỉ wca,,blank_url
233,rba,https://knacert.com.vn/tin-tuc-tieu-chuan/rba-la-gi-quy-tac-ung-xu-rba-ve-trach-nhiem-xa-hoi-nganh-dien-tu/,url_not_found_in_page_classification
234,rba là gì,https://knacert.com.vn/tin-tuc-tieu-chuan/rba-la-gi-quy-tac-ung-xu-rba-ve-trach-nhiem-xa-hoi-nganh-dien-tu/,url_not_found_in_page_classification
235,tiêu chuẩn hành vi rba bao gồm những gì,https://knacert.com.vn/tin-tuc-tieu-chuan/rba-la-gi-quy-tac-ung-xu-rba-ve-trach-nhiem-xa-hoi-nganh-dien-tu/,url_not_found_in_page_classification
236,tiêu chuẩn rba là gì,https://knacert.com.vn/tin-tuc-tieu-chuan/rba-la-gi-quy-tac-ung-xu-rba-ve-trach-nhiem-xa-hoi-nganh-dien-tu/,url_not_found_in_page_classification
240,costco,,blank_url
241,costco ở việt nam,,blank_url
243,tiêu chuẩn rws,,blank_url
255,chứng chỉ sa8000,https://knacert.com.vn/tin-tuc-tieu-chuan/nhung-cau-hoi-thuong-gap-ve-tieu-chuan-sa8000/,url_not_found_in_page_classification
259,tiêu chuẩn sa8000,https://knacert.com.vn/tin-tuc-tieu-chuan/tai-lieu-tieu-chuan-sa-80002014-tieng-viet-pdf/,url_not_found_in_page_classification
260,,,blank_url
261,,,blank_url
262,,,blank_url
263,,,blank_url
264,,,blank_url
265,,,blank_url
266,,,blank_url
267,,,blank_url
268,,,blank_url
269,,,blank_url
270,,,blank_url
271,,,blank_url
272,,,blank_url
273,,,blank_url
274,,,blank_url
275,,,blank_url
276,,,blank_url
277,,,blank_url
278,,,blank_url
279,,,blank_url
280,,,blank_url
281,,,blank_url
282,,,blank_url
283,,,blank_url
284,,,blank_url
285,,,blank_url
286,,,blank_url
287,,,blank_url
288,,,blank_url
289,,,blank_url
290,,,blank_url
291,,,blank_url
292,,,blank_url
293,,,blank_url
294,,,blank_url
295,,,blank_url
296,,,blank_url
297,,,blank_url
298,,,blank_url
299,,,blank_url
300,,,blank_url
301,,,blank_url
302,,,blank_url
303,,,blank_url
304,,,blank_url
305,,,blank_url
306,,,blank_url
307,,,blank_url
308,,,blank_url
309,,,blank_url
310,,,blank_url
311,,,blank_url
312,,,blank_url
313,,,blank_url
314,,,blank_url
315,,,blank_url
316,,,blank_url
317,,,blank_url
318,,,blank_url
319,,,blank_url
320,,,blank_url
321,,,blank_url
322,,,blank_url
323,,,blank_url
324,,,blank_url
325,,,blank_url
326,,,blank_url
327,,,blank_url
328,,,blank_url
329,,,blank_url
330,,,blank_url
331,,,blank_url
332,,,blank_url
333,,,blank_url
334,,,blank_url
335,,,blank_url
336,,,blank_url
337,,,blank_url
338,,,blank_url
339,,,blank_url
340,,,blank_url
341,,,blank_url
342,,,blank_url
343,,,blank_url
344,,,blank_url
345,,,blank_url
346,,,blank_url
347,,,blank_url
348,,,blank_url
349,,,blank_url
350,,,blank_url
351,,,blank_url
352,,,blank_url
353,,,blank_url
354,,,blank_url
355,,,blank_url
356,,,blank_url
357,,,blank_url
358,,,blank_url
359,,,blank_url
360,,,blank_url
361,,,blank_url
362,,,blank_url
363,,,blank_url
364,,,blank_url
365,,,blank_url
366,,,blank_url
367,,,blank_url
368,,,blank_url
369,,,blank_url
370,,,blank_url
371,,,blank_url
372,,,blank_url
373,,,blank_url
374,,,blank_url
375,,,blank_url
376,,,blank_url
377,,,blank_url
378,,,blank_url
379,,,blank_url
380,,,blank_url
381,,,blank_url
382,,,blank_url
383,,,blank_url
384,,,blank_url
385,,,blank_url
386,,,blank_url
387,,,blank_url
388,,,blank_url
389,,,blank_url
390,,,blank_url
391,,,blank_url
392,,,blank_url
393,,,blank_url
394,,,blank_url
395,,,blank_url
396,,,blank_url
397,,,blank_url
398,,,blank_url
399,,,blank_url
400,,,blank_url
401,,,blank_url
402,,,blank_url
403,,,blank_url
404,,,blank_url
405,,,blank_url
406,,,blank_url
407,,,blank_url
408,,,blank_url
409,,,blank_url
410,,,blank_url
411,,,blank_url
412,,,blank_url
413,,,blank_url
414,,,blank_url
415,,,blank_url
416,,,blank_url
417,,,blank_url
418,,,blank_url
419,,,blank_url
420,,,blank_url
421,,,blank_url
422,,,blank_url
423,,,blank_url
424,,,blank_url
425,,,blank_url
426,,,blank_url
427,,,blank_url
428,,,blank_url
429,,,blank_url
430,,,blank_url
431,,,blank_url
432,,,blank_url
433,,,blank_url
434,,,blank_url
435,,,blank_url
436,,,blank_url
437,,,blank_url
438,,,blank_url
439,,,blank_url
440,,,blank_url
441,,,blank_url
442,,,blank_url
443,,,blank_url
444,,,blank_url
445,,,blank_url
446,,,blank_url
447,,,blank_url
448,,,blank_url
449,,,blank_url
450,,,blank_url
451,,,blank_url
452,,,blank_url
453,,,blank_url
454,,,blank_url
455,,,blank_url
456,,,blank_url
457,,,blank_url
458,,,blank_url
459,,,blank_url
460,,,blank_url
461,,,blank_url
462,,,blank_url
463,,,blank_url
464,,,blank_url
465,,,blank_url
466,,,blank_url
467,,,blank_url
468,,,blank_url
469,,,blank_url
470,,,blank_url
471,,,blank_url
472,,,blank_url
473,,,blank_url
474,,,blank_url
475,,,blank_url
476,,,blank_url
477,,,blank_url
478,,,blank_url
479,,,blank_url
480,,,blank_url
481,,,blank_url
482,,,blank_url
483,,,blank_url
484,,,blank_url
485,,,blank_url
486,,,blank_url
487,,,blank_url
488,,,blank_url
489,,,blank_url
490,,,blank_url
491,,,blank_url
492,,,blank_url
493,,,blank_url
494,,,blank_url
495,,,blank_url
496,,,blank_url
497,,,blank_url
498,,,blank_url
499,,,blank_url
500,,,blank_url
501,,,blank_url
502,,,blank_url
503,,,blank_url
504,,,blank_url
505,,,blank_url
506,,,blank_url
507,,,blank_url
508,,,blank_url
509,,,blank_url
510,,,blank_url
511,,,blank_url
512,,,blank_url
513,,,blank_url
514,,,blank_url
515,,,blank_url
516,,,blank_url
517,,,blank_url
